"","X","Participant.Private.ID","Participant.Status","Task.Name","branch.53l8","display","Trial.Number","Reaction.Time","Attempt","Correct","valid","trial_type","music_reading_ability"
"1",28,6126428,"complete","block a","musicreaders","trial",1,2973.9,1,1,"neutral","neutral","musicreaders"
"2",40,6126428,"complete","block a","musicreaders","trial",2,2909.6,1,0,"invalid","invalid","musicreaders"
"3",52,6126428,"complete","block a","musicreaders","trial",3,1599.3,1,1,"neutral","neutral","musicreaders"
"4",64,6126428,"complete","block a","musicreaders","trial",4,1936,1,1,"neutral","neutral","musicreaders"
"5",76,6126428,"complete","block a","musicreaders","trial",5,1681.3,1,0,"valid","valid","musicreaders"
"6",88,6126428,"complete","block a","musicreaders","trial",6,4480.4,1,1,"valid","valid","musicreaders"
"7",100,6126428,"complete","block a","musicreaders","trial",7,2683.6,1,1,"valid","valid","musicreaders"
"8",112,6126428,"complete","block a","musicreaders","trial",8,1436.4,1,1,"valid","valid","musicreaders"
"9",124,6126428,"complete","block a","musicreaders","trial",9,1426.6,1,0,"valid","valid","musicreaders"
"10",136,6126428,"complete","block a","musicreaders","trial",10,2449.3,1,1,"invalid","invalid","musicreaders"
"11",148,6126428,"complete","block a","musicreaders","trial",11,2358.7,1,1,"valid","valid","musicreaders"
"12",160,6126428,"complete","block a","musicreaders","trial",12,2672.8,1,1,"valid","valid","musicreaders"
"13",172,6126428,"complete","block a","musicreaders","trial",13,2661.4,1,1,"valid","valid","musicreaders"
"14",184,6126428,"complete","block a","musicreaders","trial",14,1502.5,1,1,"valid","valid","musicreaders"
"15",196,6126428,"complete","block a","musicreaders","trial",15,1379.1,1,1,"valid","valid","musicreaders"
"16",208,6126428,"complete","block a","musicreaders","trial",16,2294.8,1,1,"neutral","neutral","musicreaders"
"17",220,6126428,"complete","block a","musicreaders","trial",17,2466.7,1,1,"invalid","invalid","musicreaders"
"18",232,6126428,"complete","block a","musicreaders","trial",18,2121.8,1,1,"valid","valid","musicreaders"
"19",244,6126428,"complete","block a","musicreaders","trial",19,1627.8,1,0,"valid","valid","musicreaders"
"20",256,6126428,"complete","block a","musicreaders","trial",20,1554.1,1,1,"valid","valid","musicreaders"
"21",268,6126428,"complete","block a","musicreaders","trial",21,1421,1,1,"valid","valid","musicreaders"
"22",280,6126428,"complete","block a","musicreaders","trial",22,1435.6,1,1,"invalid","invalid","musicreaders"
"23",292,6126428,"complete","block a","musicreaders","trial",23,2120.5,1,0,"valid","valid","musicreaders"
"24",322,6118099,"complete","block a","musicreaders","trial",1,1655.7,1,1,"valid","valid","musicreaders"
"25",334,6118099,"complete","block a","musicreaders","trial",2,1751.5,1,1,"valid","valid","musicreaders"
"26",346,6118099,"complete","block a","musicreaders","trial",3,8220.3,1,0,"valid","valid","musicreaders"
"27",358,6118099,"complete","block a","musicreaders","trial",4,2009.1,1,1,"invalid","invalid","musicreaders"
"28",370,6118099,"complete","block a","musicreaders","trial",5,1605.2,1,1,"valid","valid","musicreaders"
"29",382,6118099,"complete","block a","musicreaders","trial",6,4703.5,1,1,"valid","valid","musicreaders"
"30",394,6118099,"complete","block a","musicreaders","trial",7,3867.2,1,1,"valid","valid","musicreaders"
"31",406,6118099,"complete","block a","musicreaders","trial",8,3394.9,1,1,"valid","valid","musicreaders"
"32",418,6118099,"complete","block a","musicreaders","trial",9,8919.8,1,1,"neutral","neutral","musicreaders"
"33",430,6118099,"complete","block a","musicreaders","trial",10,3359.3,1,1,"valid","valid","musicreaders"
"34",442,6118099,"complete","block a","musicreaders","trial",11,5953.5,1,1,"neutral","neutral","musicreaders"
"35",454,6118099,"complete","block a","musicreaders","trial",12,2538.7,1,1,"valid","valid","musicreaders"
"36",466,6118099,"complete","block a","musicreaders","trial",13,2478.4,1,1,"valid","valid","musicreaders"
"37",478,6118099,"complete","block a","musicreaders","trial",14,3374.1,1,1,"valid","valid","musicreaders"
"38",490,6118099,"complete","block a","musicreaders","trial",15,4598.6,1,1,"invalid","invalid","musicreaders"
"39",502,6118099,"complete","block a","musicreaders","trial",16,2459.8,1,1,"valid","valid","musicreaders"
"40",514,6118099,"complete","block a","musicreaders","trial",17,4006.8,1,1,"neutral","neutral","musicreaders"
"41",526,6118099,"complete","block a","musicreaders","trial",18,1628.2,1,1,"valid","valid","musicreaders"
"42",538,6118099,"complete","block a","musicreaders","trial",19,1859,1,1,"invalid","invalid","musicreaders"
"43",550,6118099,"complete","block a","musicreaders","trial",20,1900,1,1,"neutral","neutral","musicreaders"
"44",562,6118099,"complete","block a","musicreaders","trial",21,4444.8,1,1,"valid","valid","musicreaders"
"45",574,6118099,"complete","block a","musicreaders","trial",22,2448.4,1,1,"valid","valid","musicreaders"
"46",586,6118099,"complete","block a","musicreaders","trial",23,4653.2,1,1,"invalid","invalid","musicreaders"
"70",911,5628783,"complete","block a","musicreaders","trial",1,4478,1,1,"invalid","invalid","musicreaders"
"71",923,5628783,"complete","block a","musicreaders","trial",2,1977,1,0,"valid","valid","musicreaders"
"72",935,5628783,"complete","block a","musicreaders","trial",3,1851,1,0,"valid","valid","musicreaders"
"73",947,5628783,"complete","block a","musicreaders","trial",4,1494,1,0,"invalid","invalid","musicreaders"
"74",959,5628783,"complete","block a","musicreaders","trial",5,5034,1,0,"neutral","neutral","musicreaders"
"75",971,5628783,"complete","block a","musicreaders","trial",6,1074,1,1,"valid","valid","musicreaders"
"76",983,5628783,"complete","block a","musicreaders","trial",7,2331,1,1,"valid","valid","musicreaders"
"77",995,5628783,"complete","block a","musicreaders","trial",8,2590,1,0,"neutral","neutral","musicreaders"
"78",1007,5628783,"complete","block a","musicreaders","trial",9,1758,1,0,"neutral","neutral","musicreaders"
"79",1019,5628783,"complete","block a","musicreaders","trial",10,13399,1,0,"invalid","invalid","musicreaders"
"80",1031,5628783,"complete","block a","musicreaders","trial",11,2723,1,0,"invalid","invalid","musicreaders"
"81",1043,5628783,"complete","block a","musicreaders","trial",12,6654,1,1,"valid","valid","musicreaders"
