"","X","Participant.Private.ID","Task.Name","branch.53l8.x","display","Trial.Number","Reaction.Time","Attempt","Correct","valid","trial_type","music_reading_ability","branch.53l8.y","BI_01","AE_mean","PA_mean","MT_mean","SA_mean","EM_mean","GM_mean"
"1",1,5613339,"EXPERIMENT 1a","musicreaders","trial",1,4986.1,1,1,"valid","valid","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"2",16,5613339,"EXPERIMENT1b","musicreaders","trial",1,2296.2,1,1,"neutral","neutral","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"3",2,5613339,"EXPERIMENT 1a","musicreaders","trial",2,5488.8,1,1,"valid","valid","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"4",17,5613339,"EXPERIMENT1b","musicreaders","trial",2,2624,1,1,"valid","valid","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"5",6,5613339,"EXPERIMENT 1a","musicreaders","trial",3,4081.2,1,1,"invalid","invalid","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"6",18,5613339,"EXPERIMENT1b","musicreaders","trial",3,1727.3,1,1,"valid","valid","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"7",7,5613339,"EXPERIMENT 1a","musicreaders","trial",4,1590.4,1,1,"invalid","invalid","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"8",19,5613339,"EXPERIMENT1b","musicreaders","trial",4,2981.5,1,1,"valid","valid","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"9",8,5613339,"EXPERIMENT 1a","musicreaders","trial",5,1730.7,1,1,"invalid","invalid","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"10",20,5613339,"EXPERIMENT1b","musicreaders","trial",5,3129.9,1,1,"valid","valid","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"11",9,5613339,"EXPERIMENT 1a","musicreaders","trial",6,3148.9,1,1,"valid","valid","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"12",21,5613339,"EXPERIMENT1b","musicreaders","trial",6,1649.6,1,1,"valid","valid","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"13",10,5613339,"EXPERIMENT 1a","musicreaders","trial",7,2623.7,1,1,"valid","valid","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"14",22,5613339,"EXPERIMENT1b","musicreaders","trial",7,5831.4,1,1,"invalid","invalid","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"15",11,5613339,"EXPERIMENT 1a","musicreaders","trial",8,2586.3,1,1,"valid","valid","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"16",23,5613339,"EXPERIMENT1b","musicreaders","trial",8,5052.1,1,1,"valid","valid","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"17",12,5613339,"EXPERIMENT 1a","musicreaders","trial",9,1897.1,1,1,"valid","valid","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"18",24,5613339,"EXPERIMENT1b","musicreaders","trial",9,3147.7,1,1,"valid","valid","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"19",13,5613339,"EXPERIMENT 1a","musicreaders","trial",10,1729.1,1,1,"valid","valid","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"20",25,5613339,"EXPERIMENT1b","musicreaders","trial",10,3825.4,1,1,"valid","valid","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"21",14,5613339,"EXPERIMENT 1a","musicreaders","trial",11,2495.2,1,1,"valid","valid","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"22",26,5613339,"EXPERIMENT1b","musicreaders","trial",11,2107.8,1,1,"neutral","neutral","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"23",15,5613339,"EXPERIMENT 1a","musicreaders","trial",12,8577.6,1,1,"valid","valid","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"24",27,5613339,"EXPERIMENT1b","musicreaders","trial",12,2202.7,1,1,"valid","valid","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"25",3,5613339,"EXPERIMENT 1a","musicreaders","trial",13,2673.9,1,1,"valid","valid","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"26",28,5613339,"EXPERIMENT1b","musicreaders","trial",13,2200.9,1,1,"invalid","invalid","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"27",4,5613339,"EXPERIMENT 1a","musicreaders","trial",14,2315.8,1,1,"invalid","invalid","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"28",29,5613339,"EXPERIMENT1b","musicreaders","trial",14,2730.2,1,1,"neutral","neutral","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"29",5,5613339,"EXPERIMENT 1a","musicreaders","trial",15,2132.1,1,1,"valid","valid","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"30",30,5613339,"EXPERIMENT1b","musicreaders","trial",15,2033.8,1,1,"valid","valid","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"31",31,5613339,"EXPERIMENT1b","musicreaders","trial",16,1604,1,1,"valid","valid","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"32",42,5613339,"EXPERIMENT 1a","musicreaders","trial",16,2510,1,1,"valid","valid","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"33",32,5613339,"EXPERIMENT1b","musicreaders","trial",17,2868.8,1,1,"invalid","invalid","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"34",43,5613339,"EXPERIMENT 1a","musicreaders","trial",17,2625.6,1,1,"neutral","neutral","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"35",33,5613339,"EXPERIMENT1b","musicreaders","trial",18,3069.3,1,1,"valid","valid","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"36",44,5613339,"EXPERIMENT 1a","musicreaders","trial",18,4464.8,1,1,"neutral","neutral","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"37",34,5613339,"EXPERIMENT1b","musicreaders","trial",19,2622.4,1,1,"valid","valid","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"38",41,5613339,"EXPERIMENT 1a","musicreaders","trial",19,2488,1,1,"valid","valid","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"39",35,5613339,"EXPERIMENT1b","musicreaders","trial",20,2223.6,1,1,"valid","valid","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"40",45,5613339,"EXPERIMENT 1a","musicreaders","trial",20,1599,1,1,"neutral","neutral","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"41",36,5613339,"EXPERIMENT1b","musicreaders","trial",21,2440.5,1,1,"neutral","neutral","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"42",46,5613339,"EXPERIMENT 1a","musicreaders","trial",21,1926.2,1,1,"valid","valid","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"43",37,5613339,"EXPERIMENT1b","musicreaders","trial",22,2934.2,1,1,"invalid","invalid","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"44",39,5613339,"EXPERIMENT 1a","musicreaders","trial",22,1449.8,1,1,"neutral","neutral","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"45",38,5613339,"EXPERIMENT1b","musicreaders","trial",23,1775.6,1,1,"valid","valid","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
"46",40,5613339,"EXPERIMENT 1a","musicreaders","trial",23,1409.8,1,1,"valid","valid","musicreaders","musicreaders","bass guitar",5.666666667,6.888888889,5.428571429,5.714285714,6.166666667,5.888888889
